...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
31,Com_ery,Combretum erythrophyllum,Combretaceae,Myrtales,rosids,1.614676217,0.891790708,0.369136353,0.714980042,0.942082836,0.989043883,0.907782924,1.236199506,1.318526616,46.86,729.01,110.98,1796.08,7112.13,1.88,22.81242221,-96.16,-96.04,-96.1,4.92,5.99,0.49,1.51,0.44,5
32,Com_umb,Comandra umbellata,Comandraceae,Santalales,rosids,2.460161417,0.613715823,0.291663198,0.739616425,0.942549252,1,1.050429591,1.173635358,1.210315051,148.07,12.75,7.57,47.89,249.96,33.81899895,44.01337865,-20.38,-33.94,-27.16,6.64,25.45,0.769370399,1.790702354,0.5,5
33,Cor_bud,Corokia buddleioides,Argophyllaceae,Asterales,asterids,2.217206662,0.360908386,0.179054668,0.69981946,1,1,0.966100323,1.978158988,1.979066239,137.81,235.3,98.61,494.29,2739.28,13.55,101.7580456,-16.86,292.2,137.67,5.87,2.11,0.993318912,2.658156004,0.39,6
34,Cor_lae,Corynocarpus laevigata,Corynocarpaceae,Cucurbitales,rosids,2.086098013,0.605986969,0.229008098,0.672539523,0.973498914,0.987704334,0.961986681,1.178571473,1.181091125,99.85,635.89,136.09,1258.42,6161.07,3.95,13.73,-67.57,-79.64,-73.605,1.09,2.07,0.51,1.88,0.3,5
35,Cos_tap,Costus tappenbeckianus,Costaceae,Zingiberales,monocots,1.731594571,0.224881009,0,0.614867847,0.995191677,0,1.195200105,1.022785998,1.023336838,55.84,107.82,88.62,889.25,4118.85,2.9,5.2,-77.93,-83.75,-80.84,1.44,0.89,0.847903024,2.645890387,0.22,3
36,Cri_pat,Crinodendron patagua,Elaeocarpaceae,Oxalidales,rosids,2.020032299,1.605531007,0.627646541,0.694459966,0.785192915,0.989092463,0.839977934,1.026800011,1.456497375,128.81,617.76,45.79,438.41,3048.4,14.41,65.53726349,-94.05,-88.04,-91.045,5.77,12.4,0.477033183,1.960812983,0.32,5
37,Cup_nud,Cuphea nudicostata,Lythraceae,Myrtales,rosids,2.755098249,1.96540862,0.517158195,0.595295053,0.763807728,0.99185275,0.889829793,0.99226986,1.617624115,39.69,19.35,9.62,85.45,727.39,2.64,62.17926474,-20.34,-73.02,-46.68,5.76,3.34,0.857500551,2.099648359,0.48,5
38,Cus_spi,Cussonia spicata,Araliaceae,Apiales,asterids,2.058806593,0.341368721,0.272895938,0.70842712,0.968493145,1,0.921123763,1.184392279,1.16852479,80.65,303.26,154.5,1444.49,4725.71,3.25,16.13133214,-63.2,-82.84,-73.02,2.47,2.18,1.71,2.39,0.32,6
39,Cya_ful,Cyathea fulva,Cyatheaceae,Cyatheales,ferns,1.75524634,1.298771261,0.834361255,0.603562249,0.823206795,0.946903424,1.203585281,1.803076265,1.805922393,37.38,28.53,11.26,103.71,2712.505164,2.57,46.08626945,-98.55,-89.86,-94.205,1.21,0.93,0.913253319,2.118206568,0.31,1
40,Cyc_bip,Cyclanthus bipartitus,Cyclanthaceae,Pandanales,monocots,1.788301595,0.19209481,0.144650226,0.546763175,0.877536735,0.930681189,1.304410009,1.844156017,1.849762394,57.1,228.95,170.2,622.98,5878.35,2.45,38.91824069,-75.61,-58.14,-66.875,0.43,0.64,0.822435017,2.27812911,0.24,3
