...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
22,Cel_aus,Celtis australis,Cannabaceae,Rosales,rosids,0.296657887,0.217031014,0.093943845,0.653468603,0.803359077,0.985961438,0.76523775,0.803186315,1.760430371,57.8,273.53,188.28,1181.49,13405.02,3.33,NA,-84.16,-43.6,-63.88,0.81,3.67,NA,NA,0.37,5
23,Cel_ten,Celtis tenuifolia,Cannabaceae,Rosales,rosids,1.825130587,0.826012057,0.398994669,0.690050214,0.961188504,0.999657753,0.774699647,1.154959547,0.842803666,54.91,258.13,27.97,419.46,3706.13,1.87,NA,-54.21,10.97,-21.62,1.52,0.52,NA,NA,0.38,5
24,Chi_nit,Chimonanthus nitens,Calycanthaceae,Laurales,basal angiosperms,1.416173935,0.472970022,0.261229962,0.725386569,0.988932437,0.998224943,0.757433858,1.687979463,1.31276138,57.23,205.09,59.49,2157.35,14912.49,11.47,46.27,-76.97,-69.35,-73.16,2.47,3.13,0.37,1.35,0.35,2
25,Chl_spi,Chloranthus spicatus,Chloranthaceae,Chloranthales,basal angiosperms,1.681291568,0.343699638,0.252119839,0.811610561,0.989999895,0.994591769,0.918049387,1.572110631,0.987801768,42.03,204.68,180.25,695.86,5481.03,1.76,33.89,-61.87,1.04,-30.415,1.93,0.82,NA,NA,0.38,2
26,Cis_ant,Cissus antarctica,Vitaceae,Vitales,rosids,2.487529024,0.767730548,0.304356301,0.675903846,0.976237837,0.993736029,0.824240231,1.086200246,0.879917432,87.08,125.1,153.1,719.63,6570.09,1.97,7.21,-58.35,-72.28,-65.315,3.79,0.33,NA,NA,0.36,5
27,Cis_pop,Cistus populifolius,Cistaceae,Malvales,rosids,2.828320934,1.121286081,0.433207712,0.707967334,0.944562885,0.993199625,0.795760659,0.985148861,1.015571393,98.63,100.7,88.45,604.2,3883,2.15,NA,235.79,88.1,161.945,7.29,0.44,NA,NA,0.41,5
28,Cit_mon,Citharexylum montevidense,Verbenaceae,Lamiales,asterids,2.352466211,0.572139176,0.224110984,0.68368069,0.988132573,0.992804663,0.817629784,1.684324806,1.645363422,176.02,856.42,272.37,3478.44,25410.3,52.97,64.7,100.51,-84.15,8.18,4.8,2.58,NA,NA,0.35,6
29,Clu_ala,Clusia alata,Clusiaceae,Malpighiales,rosids,1.654778602,1.35790841,0.426916259,0.794727612,0.861540447,1,0.805654826,1.046881657,1.399950712,181.47,136.84,94.31,2537.08,6656.66,6.68,16.92,-94.61,-94.42,-94.515,3.4,15.69,NA,NA,0.23,5
30,Cne_tri,Cneorum tricoccon,Rutaceae,Sapindales,rosids,2.628352888,0.483850443,0.359946495,0.681440421,1,1,0.916260619,2.126084571,2.111997014,156.15,162.82,51.39,5539.32,2005.3,13.88,NA,-24.94,-53.79,-39.365,4.57,25.15,NA,NA,0.58,5
31,Com_ery,Combretum erythrophyllum,Combretaceae,Myrtales,rosids,1.614676217,0.891790708,0.369136353,0.714980042,0.942082836,0.989043883,0.907782924,1.236199506,1.318526616,46.86,729.01,110.98,1796.08,7112.13,1.88,NA,-96.16,-96.04,-96.1,4.92,5.99,0.49,1.51,0.44,5
